video_id,comment
PFHBRUj6fhM,These numb and dumb jackass clowns drive on the shoulder and cause my innocent folks to be at grave danger.
PFHBRUj6fhM,"Gang stuff again,  fatigue.. refused treatment to not be in system"
PFHBRUj6fhM,"""The hoodrat 500"" surprise, surprise!🤣"
PFHBRUj6fhM,People need to stop driving so damn fast 55 miles an hour to 45 miles an hour is fine there’s no need to rush. Your life is worth it.!!! That highway is like a race track the state please need to put photo speed traps in place to catch people writing the shoulder and going 100 miles an hour. I’ve been on the highway numerous times and people just fly right past me.
PFHBRUj6fhM,"Nobody is talking about the way cars are continuing to drive unsafe on our expressways and streets , this behavior needs to be discussed everyday 😢"
PFHBRUj6fhM,Caused by people who drive like lunatics with no consequences when is it going to be enough mobile speed cameras must be used to Force change in people's reckless driving habits
PFHBRUj6fhM,Rest in Peace Karen Valdivia.
PFHBRUj6fhM,"Little village macho BS. Let darwanism sort them out, acceptable loss for stupidity ego stroking, momma shoulda raised her failed abortion better 😂"
PFHBRUj6fhM,"Cameras needed on the highways. Chicago adds speed cameras, speed bumps, and other things to slow areas. They got it backwards, we need speed cameras on the highway. Got people going 80-90MPH in a 55mph then beeping like if we are going too slow. Then they are putting malicious straight angled speed bumps on central park and many other streets. Like they do these things on purpose to cause damage to cars. Yet the highway which has the most accidents and most terrible kinds of accidents due to people going so insanely fast has no speed cameras or enforcement of any kind."
PFHBRUj6fhM,"Drogas ….é uma droga, faz mal á saúde em geral.
Cuide do seu corpo, mente e psicológico.
Se ame."
PFHBRUj6fhM,From 87th Dan Ryan to 127th people always go the fast and Furious mode...always wanna be first and doing wreckless driving.
PFHBRUj6fhM,"Show us who they are. Are they black, migrant or other?"
PFHBRUj6fhM,Why are the judges and brandon Johnson allowing them to go free?
PFHBRUj6fhM,Marijuana is less harmful than alcohol
PFHBRUj6fhM,Burn in hell
PFHBRUj6fhM,"Good, great, NASCAR 😮"
PFHBRUj6fhM,We were there at the scene when crashed happened my son made 911 call within seconds i spoke to policeofficer and made a report.  I saw at my left side rareview mirror First there was a chrash and driver went on right side off the shoulder when his/her car was on fire.  I parked my car  on right shoulder to see if there is chance to go safe passager in the car. But car was on fire right after chrashThen my son started make video we ran towards the car but car was on fully fire within seconds no one dare to go near it because there was fire around it. Iam not sure but when I see through mirror the car looked like it was Tesla car .
PFHBRUj6fhM,Carjack Uasse was taking his new ride for an endurance test and lost control
k95z-yPj9Co,What's the purpose of the video if you're not going to show the body?
oBUJQUFwBhQ,FA=FO!!!!!!!!😂
oBUJQUFwBhQ,Driver should be charged with DWS - Driving While Stupid
oBUJQUFwBhQ,"Of coarse........ bresking news what else could it be?? 
Cat farts in a tree... breaking news... its raining outside...breaking news... your all ridiculous.  Breaking news all media channels go away!"
oBUJQUFwBhQ,Do you like it or not ?
oBUJQUFwBhQ,"Ma'am. The car is cut in half. The front seats, part of the frame, and a wheel are several yards away from the rest of the wreckage. You don't have to wait on word if anyone was hurt. At least they didn't take anyone else with them."
oBUJQUFwBhQ,Maybe they were exceeding the speed limit a lil
oBUJQUFwBhQ,This city have more accidents than I ever seen in my life
oBUJQUFwBhQ,Speed kills.
oBUJQUFwBhQ,"Rest in Peace, Very obvious dangerous Speed"
oBUJQUFwBhQ,WOW was the driver legal or did the driver have a valid license....just asking for a friend....Hasta Luego
oBUJQUFwBhQ,"That’s a KIA too, which also stands for killed in action. Is it just me or does every KIA/Hyundai driver drive fast all the time?"
oBUJQUFwBhQ,Who built that car😮
oBUJQUFwBhQ,"that’s crazy, drive safe"
oBUJQUFwBhQ,Tragic
oBUJQUFwBhQ,Insane
GY0OYT2t7qQ,Thankfully we have the SAFE-T act to protect the criminals from the victims by releasing them
GY0OYT2t7qQ,Crime stats continue to dwindle!
GY0OYT2t7qQ,"There’s SO much senseless crime in Chicago; including carjackings, road rage and smash and grabs, my anxiety and stress level stays on ten because I have to remember my son, nephews, cousins and friends families are outside and could easily and unintentionally become victims."
GY0OYT2t7qQ,My people are cancer 🦠😔
GY0OYT2t7qQ,"Chicago is the safest, most affordable and non-corrupt city in America."
GY0OYT2t7qQ,Zesty News.. Can’t even watch the damn news
GY0OYT2t7qQ,Remain vigilant in Democrat Territory 😢
GY0OYT2t7qQ,Almost 200 shootings this year but crimes down!🖕
GY0OYT2t7qQ,Mad house😮
GY0OYT2t7qQ,Sad cycle😢
VOzbGEFy-cE,He was my nephew. I can't believe this happened. We are devastated!!! This is  manslaughter! He should been taken directly to jail. My nephew was a father of children. Everyone please pray that justice to be rendered to the full extent of the law!!!
VOzbGEFy-cE,YUP    CHICAGO BULLSHIT
VOzbGEFy-cE,Sad. I saw the aftermath of this accident. 100 mph down Stony is crazy. There’s a group of tow truck drivers that think they own that part of Stony too. I wish the police would crack down on them also.
VOzbGEFy-cE,This is my co-worker.  He was truly a good person.  We are going to me him😢
VOzbGEFy-cE,My condolences to the family. And may Allah comfort your hearts and make it easy for his mom and his daughters. Ameen
VOzbGEFy-cE,May Allah forgive him of his sins and may He have mercy on him
VOzbGEFy-cE,That’s a Cadillac Escalade V with over 600 hp. Of course he was racing..
VOzbGEFy-cE,"May Allah forgive you Br Haroon
And grant you jannah firdaws.
This is so sad, his four daughters are left without a father...."
VOzbGEFy-cE,"1 Corinthians 13:11: Act your age, dress your age, and most of all...EMBRACE&BE PROUD of ur age. You are NOT getting old,  you just ""getting grown"".(words from a 40yr old man right)."
VOzbGEFy-cE,"This was my coworker...😢😢😢
BEYOND devastated...😭😭😭"
VOzbGEFy-cE,I hate when they do this. I’ve been in traffic with it too. All you can do is get out of the way. Ignoramuses! He should get life for stupidity and recklessness
VOzbGEFy-cE,And what’s sad is the get away driver laughs thinking he won. So sad people die and police might make the effort or not to do anything. I do hope they find the person.
VOzbGEFy-cE,"Stupid, stupid! Put him in jail. Check cameras for the other idiot"
